PointID,Property,Result,Unit,SampleDate,latitude,longitude,DOC,Turbidity,NDVI,Chlorophyll,CDOM,ImageDate,calibratedDOC_ratio,calibratedDOC_reg
NW-88021658,C - Org Filt,0.58,mg/l,2018-01-11,54.426701,-3.319169,12.20969323096796,-1.6421733668341707,-0.1737733186593746,0.4378795049934654,5.07230362353147,2018-01-08,1.4942492788501607,1.5574987741552793
NW-88005133,C - Org Filt,1.33,mg/l,2018-02-22,54.519881,-3.372862,14.02176770159332,-1.7768399475659282,0.2153510302371969,0.4326135279787407,6.075562612599204,2018-02-22,1.7160149628631791,1.5339104974655449
NW-88010015,C - Org Filt,1.68,mg/l,2018-04-26,54.655347,-3.221301,11.389793803226706,-1.2255280770665555,-0.2427529796073584,0.4979472178954012,4.621555097724404,2018-04-28,1.3939081723656284,1.5681716327341217
NW-88010015,C - Org Filt,1.94,mg/l,2018-05-23,54.655347,-3.221301,11.587396328159398,4.744822011517442,-0.1643052726311306,10.217097396243645,4.726665554514243,2018-05-23,1.4180912066805895,1.5655993857827624
NW-88005133,C - Org Filt,1.41,mg/l,2018-05-25,54.519881,-3.372862,12.411719384345052,1.722454743933648,0.180321435210687,2.9360201191501774,5.172603547687865,2018-05-28,1.5189736866040693,1.5548689436037915
NW-88010015,C - Org Filt,1.61,mg/l,2018-06-26,54.655347,-3.221301,11.89278111191522,1.826690781609997,0.1444905701896443,3.096658189177645,4.889396195317201,2018-06-29,1.4554648723629968,1.5616241072316654
NW-88005133,C - Org Filt,0.96,mg/l,2018-06-28,54.519881,-3.372862,7.96338139881064,0.8130527548192688,-0.963043699980968,1.8569425368383772,2.896891120880736,2018-06-29,0.9745762393276961,1.612774194692081
NW-88010015,C - Org Filt,1.7,mg/l,2018-07-18,54.655347,-3.221301,14.355540012179002,-1.2694725452396811,-0.2597442922326852,0.4792258917243067,6.25345329183964,2018-07-19,1.7568627569033959,1.5295656905930384
NW-88021658,C - Org Filt,0.71,mg/l,2018-07-19,54.426701,-3.319169,21.031841670600723,4.466992467431372,0.6285981977009751,9.699468336559184,10.329308491530846,2018-07-19,2.5739233291690518,1.4426584175555042
NW-88021658,C - Org Filt,1.04,mg/l,2018-09-27,54.426701,-3.319169,11.27315473936307,4.397016302442446,0.788789767255383,14.86098669699362,4.571241973060274,2018-09-27,1.37963362559635,1.5696899558250583
NW-88005133,C - Org Filt,1.27,mg/l,2018-10-25,54.519881,-3.372862,10.796799832482996,-1.8010574256418084,0.3045499292249369,10.487053502497377,4.311468184187866,2018-10-27,1.3213362578724062,1.5758907999559963
NW-88005133,C - Org Filt,1.13,mg/l,2018-11-26,54.519881,-3.372862,31.973465762906315,0.5392667561926903,0.261459494695989,1.5700565530385109,17.837400065914274,2018-11-26,3.912983500468787,1.3002282576982793
NW-88005133,C - Org Filt,1.18,mg/l,2018-12-10,54.519881,-3.372862,13.625589408680868,-3.1036434714795496,-0.347986802526837,0.0873550747782798,5.8408008416470265,2018-12-09,1.667529786595275,1.5390676603433269
NW-88021658,C - Org Filt,0.91,mg/l,2018-12-28,54.426701,-3.319169,11.82488973388197,-1.934525220441832,-0.3983329133695115,0.3024125589316089,4.858545756146755,2018-12-24,1.4471561752690334,1.5625078681564266
NW-88010015,C - Org Filt,1.93,mg/l,2019-01-08,54.655347,-3.221301,20.046252955035744,-0.1956126908036919,0.1492837014170114,1.023876756394403,9.683285664062607,2019-01-08,2.4533048009540663,1.4554880996143233
NW-88005133,C - Org Filt,1.05,mg/l,2019-01-23,54.519881,-3.372862,10.40104175479074,-3.413333333333333,0.0,0.0561761349621587,4.103846921584828,2019-01-23,1.2729025084731267,1.5810424927755418
NW-88010015,C - Org Filt,1.56,mg/l,2019-02-21,54.655347,-3.221301,13.138549233693658,8.89511022932374,-0.2817485729305139,36.86964082190504,5.573714247452076,2019-02-24,1.6079247321128372,1.54540759757706
NW-88005133,C - Org Filt,1.14,mg/l,2019-02-27,54.519881,-3.372862,12.561940535999687,1.128385786094826,-0.2385487989763519,2.2119501421129937,5.252080650575484,2019-02-27,1.5373580835976526,1.5529134731486192
NW-88021658,C - Org Filt,0.65,mg/l,2019-02-27,54.426701,-3.319169,22.98518884556821,3.9742539621182846,0.3120299609602291,8.011189161619077,11.58336803387586,2019-02-27,2.8129782793897604,1.4172311548347052
NW-88021658,C - Org Filt,0.97,mg/l,2019-03-29,54.426701,-3.319169,20.363740127866908,2.036610876965473,0.291487825565747,4.251410566231509,9.948429627894212,2019-03-31,2.4921595837952837,1.4513552809031816
NW-88010015,C - Org Filt,1.52,mg/l,2019-04-11,54.655347,-3.221301,10.503982927248916,1.6534452872517256,-0.0311473845630348,2.84575961356922,4.163334365200173,2019-04-10,1.2855006769774329,1.5797024789416338
NW-88005133,C - Org Filt,0.88,mg/l,2019-04-24,54.519881,-3.372862,16.8297220677726,3.331605531278897,0.210656374804167,5.9745814402466335,7.708405220195443,2019-04-20,2.059658632473617,1.4973585755686893
NW-88010015,C - Org Filt,1.7,mg/l,2019-05-15,54.655347,-3.221301,10.21434789907762,1.3343411215439749,0.0934792826000676,2.4161292158327003,4.007104074162831,2019-05-15,1.250054501239208,1.5834727385497755
NW-88005133,C - Org Filt,0.94,mg/l,2019-05-28,54.519881,-3.372862,14.733399279431245,-1.9866871681965188,-0.010461514532639,0.2748708055979662,6.471872568087473,2019-05-28,1.8031060102692096,1.5246469915604042
