PointID,Property,Result,Unit,SampleDate,latitude,longitude,DOC,Turbidity,NDVI,Chlorophyll,CDOM,ImageDate
NW-88021658,C - Org Filt,0.58,mg/l,2018-01-11,54.426701,-3.319169,12.209693230967959,-1.6421733668341707,-0.17377331865937465,0.4378795049934654,5.07230362353147,2018-01-08
NW-88005133,C - Org Filt,1.33,mg/l,2018-02-22,54.519881,-3.372862,14.021767701593319,-1.7768399475659282,0.21535103023719693,0.43261352797874075,6.075562612599204,2018-02-22
NW-88021658,C - Org Filt,0.7,mg/l,2018-03-20,54.426701,-3.319169,20.698152530141027,20.10256345831723,0.24401338935748793,366.59918702350416,10.155663467701986,2018-03-19
NW-88010015,C - Org Filt,1.44,mg/l,2018-03-21,54.655347,-3.221301,10.025481343848831,34.79900296690424,-0.3245608101051875,2417.030254665535,3.920057924642287,2018-03-19
NW-88021658,C - Org Filt,0.6,mg/l,2018-04-18,54.426701,-3.319169,24.4546549720026,13.48196608040201,0.4393299320707649,128.59085774301715,12.611274702090235,2018-04-20
NW-88010015,C - Org Filt,1.68,mg/l,2018-04-26,54.655347,-3.221301,11.389793803226706,-1.2255280770665555,-0.24275297960735848,0.4979472178954012,4.6215550977244035,2018-04-28
NW-88021658,C - Org Filt,0.71,mg/l,2018-05-21,54.426701,-3.319169,7.710021555506506,26.505791135162998,0.8546593639659813,831.6822424367359,2.7962200428342676,2018-05-23
NW-88010015,C - Org Filt,1.94,mg/l,2018-05-23,54.655347,-3.221301,11.587396328159398,4.744822011517442,-0.16430527263113062,10.217097396243645,4.726665554514243,2018-05-23
NW-88005133,C - Org Filt,1.41,mg/l,2018-05-25,54.519881,-3.372862,12.411719384345053,1.722454743933648,0.180321435210687,2.9360201191501774,5.172603547687865,2018-05-28
NW-88010015,C - Org Filt,1.61,mg/l,2018-06-26,54.655347,-3.221301,11.892781111915221,1.826690781609997,0.14449057018964437,3.096658189177645,4.889396195317201,2018-06-29
NW-88005133,C - Org Filt,0.96,mg/l,2018-06-28,54.519881,-3.372862,7.96338139881064,0.8130527548192688,-0.9630436999809681,1.8569425368383774,2.896891120880736,2018-06-29
NW-88010015,C - Org Filt,1.7,mg/l,2018-07-18,54.655347,-3.221301,14.355540012179002,-1.2694725452396811,-0.2597442922326852,0.47922589172430674,6.25345329183964,2018-07-19
NW-88021658,C - Org Filt,0.71,mg/l,2018-07-19,54.426701,-3.319169,21.031841670600723,4.466992467431372,0.6285981977009751,9.699468336559185,10.329308491530846,2018-07-19
NW-88021658,C - Org Filt,1.04,mg/l,2018-09-27,54.426701,-3.319169,11.27315473936307,4.397016302442446,0.788789767255383,14.86098669699362,4.571241973060274,2018-09-27
NW-88005133,C - Org Filt,1.27,mg/l,2018-10-25,54.519881,-3.372862,10.796799832482996,-1.8010574256418084,0.3045499292249369,10.487053502497377,4.311468184187866,2018-10-27
NW-88021658,C - Org Filt,0.73,mg/l,2018-10-29,54.426701,-3.319169,13.814005853267005,34.0270846419598,0.7032619202801377,10573.302857440936,5.962432683259146,2018-10-27
NW-88005133,C - Org Filt,1.13,mg/l,2018-11-26,54.519881,-3.372862,31.973465762906315,0.5392667561926903,0.26145949469598906,1.5700565530385107,17.837400065914274,2018-11-26
NW-88005133,C - Org Filt,1.18,mg/l,2018-12-10,54.519881,-3.372862,13.625589408680868,-3.1036434714795496,-0.34798680252683706,0.08735507477827986,5.8408008416470265,2018-12-09
NW-88021658,C - Org Filt,0.91,mg/l,2018-12-28,54.426701,-3.319169,11.82488973388197,-1.9345252204418317,-0.39833291336951154,0.3024125589316089,4.858545756146755,2018-12-24
NW-88010015,C - Org Filt,1.93,mg/l,2019-01-08,54.655347,-3.221301,20.046252955035744,-0.19561269080369192,0.1492837014170114,1.0238767563944027,9.683285664062607,2019-01-08
NW-88005133,C - Org Filt,1.05,mg/l,2019-01-23,54.519881,-3.372862,10.40104175479074,-3.413333333333333,0.0,0.05617613496215877,4.103846921584828,2019-01-23
NW-88010015,C - Org Filt,1.56,mg/l,2019-02-21,54.655347,-3.221301,13.138549233693658,8.89511022932374,-0.2817485729305139,36.869640821905044,5.5737142474520756,2019-02-24
NW-88005133,C - Org Filt,1.14,mg/l,2019-02-27,54.519881,-3.372862,12.561940535999687,1.128385786094826,-0.23854879897635192,2.2119501421129937,5.252080650575484,2019-02-27
NW-88021658,C - Org Filt,0.65,mg/l,2019-02-27,54.426701,-3.319169,22.98518884556821,3.9742539621182846,0.3120299609602291,8.011189161619077,11.583368033875859,2019-02-27
NW-88021658,C - Org Filt,0.97,mg/l,2019-03-29,54.426701,-3.319169,20.363740127866908,2.036610876965473,0.291487825565747,4.251410566231509,9.948429627894212,2019-03-31
NW-88010015,C - Org Filt,1.52,mg/l,2019-04-11,54.655347,-3.221301,10.503982927248915,1.6534452872517256,-0.031147384563034872,2.8457596135692196,4.163334365200173,2019-04-10
NW-88005133,C - Org Filt,0.88,mg/l,2019-04-24,54.519881,-3.372862,16.8297220677726,3.3316055312788975,0.21065637480416702,5.9745814402466335,7.708405220195443,2019-04-20
NW-88010015,C - Org Filt,1.7,mg/l,2019-05-15,54.655347,-3.221301,10.21434789907762,1.3343411215439749,0.0934792826000676,2.4161292158327003,4.0071040741628305,2019-05-15
NW-88005133,C - Org Filt,0.94,mg/l,2019-05-28,54.519881,-3.372862,14.733399279431245,-1.9866871681965188,-0.010461514532639002,0.27487080559796623,6.471872568087473,2019-05-28
